anio_insc;prov_insc;cau_div;dur_mat;edad_hom;p_etnica_hom;niv_insth;area_resh;edad_muj;p_etnica_muj;niv_instm;area_resm
1;Pichincha;MUTUO ACUERDO;18;40;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;1;28;6;10;0;10;6;10;11
1;Pichincha;MUTUO ACUERDO;5;29;6;2;1;2;6;1;11
1;Pichincha;MUTUO ACUERDO;17;49;6;2;1;2;6;4;11
1;Pichincha;MUTUO ACUERDO;2;27;6;10;1;10;6;10;11
1;Pichincha;MUTUO ACUERDO;8;30;6;1;1;1;6;2;11
1;Pichincha;ABANDONO;12;39;6;2;1;2;6;2;11
1;Pichincha;MUTUO ACUERDO;24;50;6;1;1;1;6;3;11
1;Pichincha;MUTUO ACUERDO;0;43;6;10;1;10;6;10;11
1;Pichincha;MUTUO ACUERDO;12;46;6;10;1;10;6;4;11
1;Pichincha;MUTUO ACUERDO;7;38;8;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;25;50;6;3;1;3;6;10;11
1;Pichincha;MUTUO ACUERDO;15;44;6;1;1;1;6;1;11
1;Pichincha;ABANDONO;25;52;6;2;1;2;6;1;11
1;Pichincha;MUTUO ACUERDO;27;47;6;10;1;10;6;1;11
1;Pichincha;MUTUO ACUERDO;16;66;7;1;1;1;6;1;11
1;Pichincha;ABANDONO;6;51;6;10;1;10;6;3;10
1;Pichincha;MUTUO ACUERDO;3;30;6;2;1;2;6;10;11
1;Pichincha;MUTUO ACUERDO;8;48;6;1;0;1;6;2;10
1;Pichincha;ABANDONO;13;38;6;2;1;2;6;2;11
1;Pichincha;MUTUO ACUERDO;5;33;6;1;1;1;6;10;11
1;Pichincha;MUTUO ACUERDO;5;26;6;1;1;1;6;1;11
1;Pichincha;ABANDONO;6;24;6;2;1;2;6;10;10
1;Pichincha;MUTUO ACUERDO;24;52;6;2;0;2;6;2;11
1;Pichincha;MUTUO ACUERDO;4;42;6;10;1;10;6;10;10
1;Pichincha;MUTUO ACUERDO;5;29;6;1;1;1;6;1;11
1;Pichincha;FALTA DE ARMONIA;46;74;6;1;1;1;6;10;11
1;Cañar;MUTUO ACUERDO;8;29;6;1;1;1;6;8;11
1;Cañar;ABANDONO;22;66;6;10;0;10;6;10;11
1;Azuay;MUTUO ACUERDO;29;51;6;1;1;1;6;1;11
1;Azuay;MUTUO ACUERDO;30;53;6;10;1;10;6;10;11
1;Azuay;FALTA DE ARMONIA;13;32;6;0;1;0;6;5;11
1;Azuay;MUTUO ACUERDO;34;55;6;3;1;3;6;3;11
1;Azuay;MUTUO ACUERDO;5;24;6;1;1;1;6;2;11
1;Azuay;ABANDONO;15;49;6;4;1;4;1;4;11
1;Azuay;MUTUO ACUERDO;0;28;6;1;1;1;9;0;11
1;Azuay;ABANDONO;24;41;6;3;1;3;6;3;11
1;Azuay;MUTUO ACUERDO;24;51;6;3;0;3;6;3;10
1;Azuay;MUTUO ACUERDO;20;54;6;0;0;0;9;0;11
1;Azuay;MUTUO ACUERDO;11;32;6;3;1;3;6;2;11
1;Morona Santiago;ABANDONO;20;49;6;3;1;3;6;4;11
1;Azuay;MUTUO ACUERDO;10;41;6;4;1;4;6;1;11
1;Azuay;MUTUO ACUERDO;28;50;6;4;1;4;6;4;11
1;Cañar;ABANDONO;3;24;6;1;1;1;6;1;11
1;Cañar;MUTUO ACUERDO;16;44;6;1;1;1;6;1;11
1;Cañar;FALTA DE ARMONIA;4;30;6;3;1;3;6;3;10
1;El Oro;MUTUO ACUERDO;9;55;6;3;1;3;6;10;11
1;El Oro;MUTUO ACUERDO;6;26;6;1;1;1;6;2;11
1;Cañar;MUTUO ACUERDO;23;48;6;4;1;4;6;4;11
1;Loja;MUTUO ACUERDO;33;59;6;4;0;4;6;4;11
1;Loja;MUTUO ACUERDO;13;38;6;10;1;10;6;10;11
1;El Oro;MUTUO ACUERDO;6;36;6;3;1;3;6;4;11
